Sector de actividad económica;Tipo de equipo e instalación;Ámbito medioambiental;Total Nacional;Comunidades y Ciudades Autónomas;periodo;Total
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;05 Canarias;2011;5.019.578
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;05 Canarias;2010;10.040.068
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;05 Canarias;2009;9.944.259
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;05 Canarias;2008;6.125.260
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;06 Cantabria;2020;1.504.883
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;06 Cantabria;2019;1.759.818
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;06 Cantabria;2018;1.570.850
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;06 Cantabria;2017;1.735.331
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;06 Cantabria;2016;1.426.301
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;06 Cantabria;2015;931.946
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;06 Cantabria;2014;899.199
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;06 Cantabria;2013;1.519.615
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;06 Cantabria;2012;1.650.733
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;06 Cantabria;2011;7.919.138
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;06 Cantabria;2010;16.253.678
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;06 Cantabria;2009;14.899.323
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;06 Cantabria;2008;23.037.830
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;07 Castilla y León;2020;8.498.543
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;07 Castilla y León;2019;5.445.257
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;07 Castilla y León;2018;6.982.821
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;07 Castilla y León;2017;6.347.978
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;07 Castilla y León;2016;8.773.546
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;07 Castilla y León;2015;11.091.686
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;07 Castilla y León;2014;6.864.102
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;07 Castilla y León;2013;8.383.588
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;07 Castilla y León;2012;4.007.485
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;07 Castilla y León;2011;5.189.947
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;07 Castilla y León;2010;15.908.939
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;07 Castilla y León;2009;21.317.139
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;07 Castilla y León;2008;22.379.221
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;08 Castilla - La Mancha;2020;9.587.076
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;08 Castilla - La Mancha;2019;6.534.590
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;08 Castilla - La Mancha;2018;6.510.532
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;08 Castilla - La Mancha;2017;8.376.745
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;08 Castilla - La Mancha;2016;8.323.456
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;08 Castilla - La Mancha;2015;17.946.381
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;08 Castilla - La Mancha;2014;15.120.485
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;08 Castilla - La Mancha;2013;8.923.961
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;08 Castilla - La Mancha;2012;16.707.142
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;08 Castilla - La Mancha;2011;11.991.311
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;08 Castilla - La Mancha;2010;9.983.312
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;08 Castilla - La Mancha;2009;27.417.695
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;08 Castilla - La Mancha;2008;18.205.478
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;09 Cataluña;2020;18.768.432
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;09 Cataluña;2019;23.082.733
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;09 Cataluña;2018;21.257.901
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;09 Cataluña;2017;35.280.326
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;09 Cataluña;2016;30.802.707
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;09 Cataluña;2015;24.190.463
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;09 Cataluña;2014;29.582.442
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;09 Cataluña;2013;39.853.042
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;09 Cataluña;2012;44.044.635
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;09 Cataluña;2011;80.078.772
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;09 Cataluña;2010;47.600.314
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;09 Cataluña;2009;86.932.886
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;09 Cataluña;2008;105.148.482
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;10 Comunitat Valenciana;2020;7.427.892
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;10 Comunitat Valenciana;2019;11.796.299
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;10 Comunitat Valenciana;2018;19.676.180
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;10 Comunitat Valenciana;2017;16.843.558
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;10 Comunitat Valenciana;2016;22.170.568
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;10 Comunitat Valenciana;2015;5.520.747
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;10 Comunitat Valenciana;2014;8.084.017
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;10 Comunitat Valenciana;2013;6.007.023
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;10 Comunitat Valenciana;2012;34.848.038
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;10 Comunitat Valenciana;2011;7.480.684
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;10 Comunitat Valenciana;2010;11.456.627
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;10 Comunitat Valenciana;2009;18.536.432
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;10 Comunitat Valenciana;2008;43.555.741
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;11 Extremadura;2020;560.173
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;11 Extremadura;2019;334.406
